,City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
0,Toronto,779900,3,2,Ontario,5647656,43.7417,-79.3733,97000
1,Toronto,799999,3,1,Ontario,5647656,43.7417,-79.3733,97000
2,Toronto,799900,2,2,Ontario,5647656,43.7417,-79.3733,97000
3,Toronto,1200000,4,2,Ontario,5647656,43.7417,-79.3733,97000
4,Toronto,668800,1,1,Ontario,5647656,43.7417,-79.3733,97000
5,Toronto,548000,0,1,Ontario,5647656,43.7417,-79.3733,97000
6,Toronto,669900,2,1,Ontario,5647656,43.7417,-79.3733,97000
7,Toronto,699000,2,2,Ontario,5647656,43.7417,-79.3733,97000
8,Toronto,978000,3,2,Ontario,5647656,43.7417,-79.3733,97000
9,Toronto,958000,2,2,Ontario,5647656,43.7417,-79.3733,97000
10,Toronto,1899000,2,3,Ontario,5647656,43.7417,-79.3733,97000
11,Toronto,559900,2,1,Ontario,5647656,43.7417,-79.3733,97000
12,Toronto,498800,1,1,Ontario,5647656,43.7417,-79.3733,97000
13,Toronto,1450000,4,2,Ontario,5647656,43.7417,-79.3733,97000
14,Toronto,650000,2,1,Ontario,5647656,43.7417,-79.3733,97000
15,Toronto,745000,2,2,Ontario,5647656,43.7417,-79.3733,97000
16,Toronto,784900,3,2,Ontario,5647656,43.7417,-79.3733,97000
17,Toronto,998000,4,2,Ontario,5647656,43.7417,-79.3733,97000
18,Toronto,989900,4,2,Ontario,5647656,43.7417,-79.3733,97000
19,Toronto,1099000,3,2,Ontario,5647656,43.7417,-79.3733,97000
20,Toronto,459900,0,1,Ontario,5647656,43.7417,-79.3733,97000
21,Toronto,590000,2,2,Ontario,5647656,43.7417,-79.3733,97000
22,Toronto,899900,2,2,Ontario,5647656,43.7417,-79.3733,97000
23,Toronto,585000,2,1,Ontario,5647656,43.7417,-79.3733,97000
24,Toronto,899000,3,2,Ontario,5647656,43.7417,-79.3733,97000
25,Toronto,488000,1,1,Ontario,5647656,43.7417,-79.3733,97000
26,Toronto,650000,2,2,Ontario,5647656,43.7417,-79.3733,97000
27,Toronto,498000,2,1,Ontario,5647656,43.7417,-79.3733,97000
28,Toronto,499900,0,1,Ontario,5647656,43.7417,-79.3733,97000
29,Toronto,1595000,3,3,Ontario,5647656,43.7417,-79.3733,97000
30,Toronto,718000,1,1,Ontario,5647656,43.7417,-79.3733,97000
31,Toronto,1350000,2,2,Ontario,5647656,43.7417,-79.3733,97000
32,Toronto,499900,0,1,Ontario,5647656,43.7417,-79.3733,97000
33,Toronto,999000,3,2,Ontario,5647656,43.7417,-79.3733,97000
34,Toronto,819000,2,1,Ontario,5647656,43.7417,-79.3733,97000
35,Toronto,639000,1,1,Ontario,5647656,43.7417,-79.3733,97000
36,Toronto,799900,3,2,Ontario,5647656,43.7417,-79.3733,97000
37,Toronto,789900,2,2,Ontario,5647656,43.7417,-79.3733,97000
38,Toronto,549900,1,1,Ontario,5647656,43.7417,-79.3733,97000
